customer_id,product_id,quantity,unit_price_at_sale,total_amount,loyalty_card_used,order_date
59081-87231-VP,R-M-1,2,9.95,19.9,true,2026-05-21 18:40:46
61253-98356-VD,E-M-0.5,5,8.25,41.25,true,2026-05-09 09:01:16
09595-95726-OV,A-L-1,1,12.95,12.95,true,2026-01-11 10:57:24
24689-69376-XX,E-M-1,2,13.75,27.5,false,2026-04-27 10:12:36
01297-94364-XH,R-L-2.5,2,27.485,54.97,false,2026-03-28 15:26:12
21240-83132-SP,L-D-1,3,12.95,38.85,false,2026-05-28 19:09:00
70089-27418-UJ,E-D-0.5,3,7.29,21.87,true,2026-04-15 11:02:48
68493-99734-LP,L-L-0.2,1,4.755,4.755,true,2026-05-06 20:31:16
91460-04823-BX,R-M-0.5,3,5.97,17.91,false,2026-02-07 15:46:19
03677-09134-BC,R-M-0.5,1,5.97,5.97,false,2026-02-18 16:21:36
66580-33745-OQ,A-D-1,4,9.95,39.8,false,2026-03-18 16:28:43
17488-65879-XL,E-L-2.5,5,34.155,170.775,true,2026-01-22 20:47:12
27226-53717-SY,R-M-1,5,9.95,49.75,false,2026-05-19 11:28:52
34136-36674-OM,R-D-2.5,2,20.585,41.17,false,2026-02-13 16:13:47
59367-30821-ZQ,L-D-0.2,3,3.885,11.655,true,2026-02-16 17:22:41
12444-05174-OO,R-M-2.5,5,22.885,114.425,false,2026-03-13 11:03:51
77343-52608-FF,A-M-0.2,6,3.375,20.25,false,2026-02-22 17:44:49
34704-83143-KS,A-L-1,6,12.95,77.7,false,2026-03-06 14:25:39
80640-45811-LB,R-D-2.5,4,20.585,82.34,true,2026-01-10 16:12:26
16385-11286-NX,A-M-0.2,5,3.375,16.875,true,2026-04-09 16:42:33
49315-21985-BB,E-D-0.2,4,3.645,14.58,true,2026-03-08 20:04:47
08946-56610-IH,A-D-0.2,6,2.985,17.91,false,2026-05-18 10:24:24
01881-40815-VO,R-M-2.5,4,22.885,91.54,true,2026-05-23 14:56:49
80463-43913-WZ,A-D-0.2,4,2.985,11.94,true,2026-02-12 10:00:13
82990-92703-IX,A-M-1,1,11.25,11.25,false,2026-03-06 15:39:59
21134-81676-FR,E-M-0.2,3,4.125,12.375,true,2026-02-07 13:49:41
60121-12432-VU,A-M-0.5,4,6.75,27,true,2026-03-22 11:04:37
34136-36674-OM,A-M-0.2,5,3.375,16.875,false,2026-03-11 10:50:12
23806-46781-OU,A-D-0.5,3,5.97,17.91,false,2026-05-05 17:42:24
32948-34398-HC,A-D-1,4,9.95,39.8,true,2026-02-12 19:14:44
29851-36402-UX,L-M-0.2,5,4.365,21.825,false,2026-06-16 09:30:20
39123-12846-YJ,A-D-0.5,6,5.97,35.82,false,2026-06-02 18:22:15
16358-63919-CE,L-M-0.5,6,8.73,52.38,false,2026-01-26 16:41:50
67953-79896-AC,L-L-0.2,5,4.755,23.775,false,2026-04-11 19:12:22
68044-89277-ML,L-L-0.5,6,9.51,57.06,true,2026-05-28 11:55:03
48854-01899-FN,A-D-0.5,6,5.97,35.82,false,2026-06-13 16:17:51
29102-40100-TZ,L-M-0.2,2,4.365,8.73,false,2026-01-04 16:30:30
21240-83132-SP,L-L-0.5,3,9.51,28.53,false,2026-02-14 14:59:01
16880-78077-FB,R-M-2.5,5,22.885,114.425,false,2026-06-06 09:02:42
69037-66822-DW,R-M-1,6,9.95,59.7,true,2026-02-05 12:13:37
60748-46813-DZ,L-M-1,3,14.55,43.65,false,2026-06-25 10:54:07
45009-09239-IV,E-D-0.2,2,3.645,7.29,true,2026-02-14 17:26:50
92599-58687-CS,R-D-0.2,3,2.685,8.055,true,2026-03-30 20:53:35
14298-02150-KH,L-L-2.5,2,36.455,72.91,false,2026-05-12 10:24:41
33011-52383-BA,E-M-0.5,2,8.25,16.5,true,2026-03-03 11:27:30
76730-63769-ND,L-D-2.5,6,29.785,178.71,false,2026-05-19 12:57:23
64328-37891-JA,E-M-2.5,2,31.625,63.25,true,2026-03-07 17:16:14
54462-58311-YF,A-L-0.2,2,3.885,7.77,true,2026-05-11 12:52:39
