final_index,beat,source_frame
1,barista_process,1
2,barista_process,2
3,barista_process,3
4,barista_process,4
5,barista_process,5
6,barista_process,6
7,barista_process,7
8,barista_process,8
9,barista_process,9
10,barista_process,10
11,barista_process,11
12,barista_process,12
13,barista_process,13
14,barista_process,14
15,barista_process,15
16,barista_process,16
17,barista_process,17
18,barista_process,18
19,barista_process,19
20,barista_process,20
21,barista_process,21
22,barista_process,22
23,barista_process,23
24,barista_process,24
25,barista_process,25
26,barista_process,26
27,barista_process,27
28,barista_process,28
29,barista_process,29
30,barista_process,30
31,barista_process,31
32,barista_process,32
33,barista_process,33
34,barista_process,34
35,barista_process,35
36,barista_process,36
37,barista_process,37
38,barista_process,38
39,barista_process,39
40,barista_process,40
41,barista_process,41
42,barista_process,42
43,barista_process,43
44,barista_process,44
45,barista_process,45
46,barista_process,46
47,barista_process,47
48,barista_process,48
49,barista_process,49
50,barista_process,50
51,barista_process,51
52,barista_process,52
53,barista_process,53
54,barista_process,54
55,barista_process,55
56,barista_process,56
57,barista_process,57
58,barista_process,58
59,barista_process,59
60,barista_process,60
61,barista_process,61
62,barista_process,62
63,barista_process,63
64,barista_process,64
65,barista_process,65
66,barista_process,66
67,barista_process,67
68,barista_process,68
69,barista_process,69
70,barista_process,70
71,barista_process,71
72,barista_process,72
73,barista_process,73
74,barista_process,74
75,barista_process,75
76,barista_process,76
77,barista_process,77
78,barista_process,78
79,barista_process,79
80,barista_process,80
81,barista_process,81
82,barista_process,82
83,barista_process,83
84,barista_process,84
85,barista_process,85
86,barista_process,86
87,barista_process,87
88,barista_process,88
89,barista_process,89
90,barista_process,90
91,barista_process,91
92,barista_process,92
93,barista_process,93
94,barista_process,94
95,barista_process,95
96,barista_process,96
97,barista_process,97
98,barista_process,98
99,barista_process,99
100,barista_process,100
101,barista_process,101
102,barista_process,102
103,barista_process,103
104,barista_process,104
105,barista_process,105
106,barista_process,106
107,barista_process,107
108,barista_process,108
109,barista_process,109
110,barista_process,110
111,barista_process,111
112,barista_process,112
113,barista_process,113
114,barista_process,114
115,barista_process,115
116,barista_process,116
117,barista_process,117
118,barista_process,118
119,barista_process,119
120,barista_process,120
121,barista_process,121
122,barista_process,122
123,barista_process,123
124,barista_process,124
125,barista_process,125
126,barista_process,126
127,barista_process,127
128,barista_process,128
129,barista_process,129
130,barista_process,130
131,barista_process,131
132,barista_process,132
133,barista_process,133
134,barista_process,134
135,barista_process,135
136,barista_process,136
137,barista_process,137
138,barista_process,138
139,barista_process,139
140,barista_process,140
141,barista_process,141
142,barista_process,142
143,barista_process,143
144,barista_process,144
145,barista_process,145
146,barista_process,146
147,barista_process,147
148,barista_process,148
149,barista_process,149
150,barista_process,150
151,barista_process,151
152,barista_process,152
153,barista_process,153
154,barista_process,154
155,barista_process,155
156,barista_process,156
157,barista_process,157
158,barista_process,158
159,barista_process,159
160,barista_process,160
161,barista_process,161
162,barista_process,162
163,barista_process,163
164,barista_process,164
165,barista_process,165
166,barista_process,166
167,barista_process,167
168,barista_process,168
169,barista_process,169
170,barista_process,170
171,barista_process,171
172,barista_process,172
173,barista_process,173
174,barista_process,174
175,barista_process,175
176,barista_process,176
177,barista_process,177
178,barista_process,178
179,barista_process,179
180,barista_process,180
181,barista_process,181
182,barista_process,182
183,barista_process,183
184,barista_process,184
185,barista_process,185
186,barista_process,186
187,barista_process,187
188,barista_process,188
189,barista_process,189
190,barista_process,190
191,barista_process,191
192,barista_process,192
193,barista_process,193
194,barista_process,194
195,barista_process,195
196,barista_process,196
197,barista_process,197
198,barista_process,198
199,barista_process,199
200,barista_process,200
201,barista_process,201
202,barista_process,202
203,barista_process,203
204,barista_process,204
205,barista_process,205
206,barista_process,206
207,barista_process,207
208,barista_process,208
209,barista_process,209
210,barista_process,210
211,barista_process,211
212,barista_process,212
213,barista_process,213
214,barista_process,214
215,barista_process,215
216,barista_process,216
217,barista_process,217
218,barista_process,218
219,barista_process,219
220,barista_process,220
221,barista_process,221
222,barista_process,222
223,barista_process,223
224,barista_process,224
225,barista_process,225
226,barista_process,226
227,barista_process,227
228,barista_process,228
229,barista_process,229
230,barista_process,230
231,barista_process,231
232,barista_process,232
233,barista_process,233
234,barista_process,234
235,barista_process,235
236,barista_process,236
237,barista_process,237
238,barista_process,238
239,barista_process,239
240,barista_process,240
241,barista_process,241
242,whip_pan_transition,242
243,whip_pan_transition,243
244,whip_pan_transition,244
245,whip_pan_transition,245
246,whip_pan_transition,246
247,whip_pan_transition,247
248,whip_pan_transition,248
249,whip_pan_transition,249
250,whip_pan_transition,250
251,whip_pan_transition,251
252,whip_pan_transition,252
253,whip_pan_transition,253
254,whip_pan_transition,254
255,whip_pan_transition,255
256,whip_pan_transition,256
257,whip_pan_transition,257
258,whip_pan_transition,258
259,whip_pan_transition,259
260,whip_pan_transition,260
261,whip_pan_transition,261
262,whip_pan_transition,262
263,whip_pan_transition,263
264,whip_pan_transition,264
265,whip_pan_transition,265
266,whip_pan_transition,266
267,whip_pan_transition,267
268,whip_pan_transition,268
269,whip_pan_transition,269
270,whip_pan_transition,270
271,whip_pan_transition,271
272,whip_pan_transition,272
273,whip_pan_transition,273
274,whip_pan_transition,274
275,whip_pan_transition,275
276,whip_pan_transition,276
277,whip_pan_transition,277
278,whip_pan_transition,278
279,whip_pan_transition,279
280,whip_pan_transition,280
281,whip_pan_transition,281
282,resting_reveal,282
283,resting_reveal,283
284,resting_reveal,284
285,resting_reveal,285
286,resting_reveal,286
287,resting_reveal,287
288,resting_reveal,288
289,resting_reveal,289
290,resting_reveal,290
291,resting_reveal,291
292,resting_reveal,292
293,resting_reveal,293
294,resting_reveal,294
295,resting_reveal,295
296,resting_reveal,296
297,splash_pop,297
298,splash_pop,298
299,splash_pop,299
300,splash_pop,300
301,splash_pop,301
302,splash_hold,302
303,splash_hold,308
304,splash_hold,314
305,splash_hold,320
306,splash_hold,326
307,splash_hold,332
308,splash_hold,338
309,splash_hold,344
310,splash_hold,350
311,splash_hold,356
312,splash_hold,359
